,index,mse0,mse_test0,mse1,mse_test1,mse2,mse_test2,mse3,mse_test3,mse4,mse_test4,mse5,mse_test5,mse6,mse_test6,mse7,mse_test7,mse8,mse_test8,mse9,mse_test9,r2_adj0,r2_adj_test0,r2_adj1,r2_adj_test1,r2_adj2,r2_adj_test2,r2_adj3,r2_adj_test3,r2_adj4,r2_adj_test4,r2_adj5,r2_adj_test5,r2_adj6,r2_adj_test6,r2_adj7,r2_adj_test7,r2_adj8,r2_adj_test8,r2_adj9,r2_adj_test9,features,features_names,mean_mse,mean_mse_test,mean_r2,mean_r2_test,std_mse,std_mse_test,std_r2,std_r2_test,model,scaler,l1
0,0.0,0.046022612276623444,0.038474315161418506,0.04317882379451574,0.06412132120448283,0.04595226926420557,0.039162847646943624,0.04575700610042705,0.040977301185952664,0.045777353103385605,0.040739449198927795,0.04498771876382535,0.04782806387205369,0.04513572467552208,0.046478518096184536,0.04510058030205815,0.04681605904473925,0.04484524435827475,0.04907697017196143,0.045877053154545606,0.039802817848899025,0.6661000348117904,0.7791843075636634,0.6936406906160215,0.5654990609065198,0.6798890688033024,0.7246860779497533,0.6833164831018417,0.6959165818792968,0.6699546710017736,0.727673782876012,0.6749891687797462,0.693373433782946,0.6796988824199227,0.6770158570490111,0.6858604881137398,0.6155843561983155,0.69092240650076,0.5652193765979284,0.6801719822702654,0.6952807529989349,[63],['total_log'],0.04526343857933833,0.045347766343156334,0.6804543876419165,0.6739433587802381,0.0008546885450837563,0.007692140570210795,0.00861526910598799,0.07059222300095645,linear,none,
1,1.0,0.04091825115653954,0.03216027194343586,0.038103255563832,0.05751561235026498,0.04073927793255546,0.033849149890484945,0.0402552487515168,0.03821394047740007,0.04046978127980131,0.03624203751862111,0.03945114833735673,0.04544766401092419,0.03983058859206602,0.04197193518120128,0.03987198979810487,0.04158624974573416,0.03997187567185863,0.04072080469425735,0.04074878238185578,0.033693974230165326,0.7135217739784807,0.8212961350185558,0.738856277951587,0.6269081136896439,0.7259453245901697,0.7766083103251025,0.7314145378155492,0.7164503460577434,0.7187666209928993,0.763427988704788,0.7257461713045215,0.7140364211784315,0.7273993356862607,0.7086868244035046,0.7318393682973976,0.6806816972657979,0.7332648460235272,0.6436868973656098,0.7255254535621745,0.7503768779209403,[63 48],"['total_log', 'sport_points_in_0.01']",0.04003601994654871,0.040140164004248934,0.7272279710202568,0.7202159611930118,0.0008278499281886503,0.007450384631621435,0.007277643343470557,0.060079166668573596,linear,none,
2,2.0,0.03479195421756424,0.029280017248745564,0.03282516012643007,0.047054347062171806,0.034919049565273856,0.028161221631926036,0.03447024271123837,0.03221730761760938,0.03462035403928156,0.030843655618319588,0.03358884533225845,0.04011521752638084,0.034224973256206284,0.03438125774374867,0.03435581247215133,0.033207926810847735,0.03390378537498485,0.03732104190566992,0.03459427543900414,0.031051457754302424,0.7663377852959722,0.8437401478962683,0.7827978974171232,0.715466931186147,0.7738586222094179,0.8167214899446238,0.7784713493002481,0.7678019208789424,0.768720632608842,0.8052325309956122,0.7755528754292459,0.7636442839848969,0.7743287289922242,0.7713852059109748,0.7771156487883704,0.7544916138912833,0.782475377183631,0.6686092554246313,0.7761666020139013,0.7734632826410499,[63 48 65],"['total_log', 'sport_points_in_0.01', 'year_meaned']",0.03422944525343931,0.0343633450919722,0.7755825519238975,0.768055666275443,0.0006359850283499562,0.005739702820061857,0.005246220167604871,0.04986383955655547,linear,none,
3,3.0,0.03339545601908633,0.02812372006733374,0.031509038904562595,0.04515556321614794,0.03338625311758554,0.028301474386875258,0.03292222408324702,0.032526022307618876,0.033112679871549366,0.030726877561381667,0.03240266965663926,0.03716897625651173,0.03281385213741074,0.033364672980366425,0.032929411921018885,0.032328280248707854,0.03281199592757272,0.03352413342789897,0.0332551211069975,0.029390076210768848,0.777715877460859,0.8483162319608961,0.7932279422092718,0.735883738900139,0.7858286680706308,0.8185162185656268,0.7904241039101083,0.7664719489813061,0.7809146466862602,0.8029971522473113,0.7851002444663018,0.7808113895991704,0.7855462264215574,0.7799653860105773,0.788247535663801,0.7636651123265992,0.7908654456819926,0.7057133546667435,0.7865984130023541,0.7863493895972882,[63 48 65 60],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist']",0.032853870274567,0.03306097966636113,0.7864469103573137,0.7788689922855657,0.0005608147203783168,0.005057857954004219,0.004647974007375367,0.040307491799292425,linear,none,
4,4.0,0.031009400250552564,0.026436269132712388,0.029198442476768897,0.04276992360281602,0.031249557749390484,0.024343376823013494,0.030750569356376486,0.028897291128759606,0.03080757059721252,0.028289428834777464,0.029870176262422575,0.0368715078151609,0.03056761750410563,0.030465344299973746,0.03061235456619128,0.029989597742493632,0.030380877596440474,0.03222283521797433,0.030868309320110216,0.02769003011886992,0.7965934200708524,0.8535049540232453,0.8110382113663708,0.7498060091394204,0.8020217021328302,0.8432921132899716,0.8066985448405642,0.792968905346425,0.7989999155638559,0.8224757791000334,0.8049466244790207,0.7834021775446264,0.8028930617708436,0.7955484173865142,0.8058169950668731,0.7876273243510524,0.8090986102490482,0.7256461112811288,0.8046812356728589,0.8036093970983391,[63 48 65 60 90],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq']",0.03053148756795711,0.03079756047165515,0.8042788321213118,0.7957881188560756,0.0005987545355533371,0.005408437197004366,0.004367758295819876,0.03890663657026979,linear,none,
5,5.0,0.029828558591631405,0.026318079277352736,0.028364159434996535,0.03961745564405301,0.030241380402622083,0.02266535264085103,0.029589916018616037,0.02860621180460549,0.02976881744984401,0.026878419944238476,0.02859120959659699,0.037673244767559184,0.029340475029662003,0.03078320776890721,0.029654776027290275,0.027866269244745966,0.02929628172966103,0.031197503787698318,0.029842461452350103,0.026162467413821063,0.805767034971209,0.8531196707557365,0.8173527642690293,0.7690518566182805,0.8095509884569457,0.8545837926396933,0.8152697133895652,0.7958603070860151,0.8070094992007418,0.831125791977717,0.8147719023645565,0.77826571635701,0.8122176964223524,0.7921688336757263,0.812954493939078,0.8038544453905458,0.8170887111148872,0.7405503968341545,0.8123171989710314,0.817396274350116,[63 48 65 60 90 49],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq', 'building_points_in_0.01']",0.029451803573327044,0.02977682122938325,0.8124300003099396,0.8035977085684995,0.0005810845231171352,0.005283553553533113,0.003970505233012725,0.03651611974596076,linear,none,
6,6.0,0.029507947257079944,0.026041834474688108,0.028157478595172813,0.03994490888310396,0.030097799376303903,0.02236469224620902,0.02929944739848321,0.03005191793768015,0.029596646491424936,0.02683468148990654,0.02824025039166141,0.03734297890448628,0.029151808725532708,0.030911590382728626,0.029264998590391417,0.02821570401973559,0.029122105984630442,0.031176356040794686,0.02969538566900967,0.025907730074417653,0.8078253821762605,0.8516560686378613,0.8188566222450891,0.7657465371584258,0.8105555375785718,0.8560360222106275,0.8173453586095812,0.7865877059838187,0.8082677238900864,0.8302771590878993,0.8170514892256324,0.7764675666202926,0.8135802549846992,0.7903586067896267,0.8154528673562016,0.8066538444511199,0.8183055854437551,0.7400907765971352,0.8133448893842872,0.8190188760197821,[63 48 65 60 90 49 61],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq', 'building_points_in_0.01', 'crossing_dist']",0.029213386847969047,0.02987923944537506,0.8140585710894165,0.8022893163556588,0.000608485663583621,0.005362491669846001,0.00405735198311836,0.03751697312472696,linear,none,
7,7.0,0.029361525463554226,0.025858263678078846,0.027785158170112508,0.0389873098918939,0.029664397596815238,0.02195951364374028,0.028918429059337513,0.030028248147278825,0.029141745041074238,0.026628869602356612,0.027718786004683745,0.03787362326292052,0.02868537315662274,0.030784253029228055,0.02911587098703977,0.027983347904341375,0.028746316206000017,0.03113391355998807,0.029329696316078617,0.02491845502900373,0.8088890263644282,0.8522860796832178,0.8216112249547394,0.7734133535517329,0.8137205278599364,0.8583125499332984,0.8197443746607621,0.7842078996109683,0.8116975130212265,0.8309610190394915,0.8209644624593828,0.7759265176824979,0.817038705300934,0.7923305561912449,0.8164965418024485,0.8063842541511276,0.820668281634396,0.7342251767235802,0.815996468966306,0.8245880908749962,[63 48 65 60 90 49 61 36],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq', 'building_points_in_0.01', 'crossing_dist', 'office_points_in_0.005']",0.028846729800131865,0.029615579774883022,0.816682712702456,0.8032635497442154,0.0006469392894948788,0.0054390196190568394,0.004254184477248583,0.03880509438673963,linear,none,
8,8.0,0.028925887676305422,0.02531220556703133,0.02736533461185555,0.039819109833610415,0.029324135212045403,0.02146149905035297,0.028709011778153062,0.030281491929304464,0.028958287899610965,0.02694856300413748,0.027590305897313417,0.03752869170376532,0.028391168851877906,0.029888206022859982,0.028706222901842927,0.02728517485996895,0.028351574819759452,0.030290734464534442,0.02895276767443519,0.024775030042999475,0.812183968001926,0.8546230515099746,0.8243853065115982,0.769778481882534,0.8158374701848495,0.8570271289645404,0.8212151055183501,0.7820662614088414,0.8130341422248453,0.8275914658869072,0.8218748907580922,0.7767539646057342,0.8188489112320301,0.7947262712635214,0.8194744194876158,0.8116916641585719,0.8234971577199611,0.7385849201992231,0.8183828592180489,0.8217207994184791,[63 48 65 60 90 49 61 36 85],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq', 'building_points_in_0.01', 'crossing_dist', 'office_points_in_0.005', 'rooms']",0.028527469732319927,0.029359070647856485,0.8188734230857317,0.8034564009298327,0.0006238907160059652,0.005657126713997637,0.004148862446406803,0.038094973113608134,linear,none,
9,9.0,0.028764174367671674,0.02523448495302779,0.02726257338384574,0.039277779591554055,0.029177239190178818,0.021234544025221118,0.02824124558614173,0.029871552764633526,0.028591019457062637,0.026627038108501137,0.02710224689613473,0.03711575214646753,0.02823191907451961,0.029777075494608785,0.02855260195268206,0.027153269049283692,0.028189898337641985,0.030192640716582293,0.028812122188807715,0.024503753940716955,0.8133591492590875,0.8562463158905471,0.8250941946327254,0.7725997201193098,0.8168596429944681,0.8583573394688581,0.8245705345046922,0.7867487695452335,0.8157717360934629,0.8300977901026003,0.8255071546787616,0.778221325790591,0.8199796812499459,0.7941258862753316,0.8205458890548735,0.8120708064475036,0.8246137233179982,0.7388549213053249,0.8193561514745236,0.8228643330675571,[63 48 65 60 90 49 61 36 85  5],"['total_log', 'sport_points_in_0.01', 'year_meaned', 'bus_stop_dist', 'renovation_freq', 'building_points_in_0.01', 'crossing_dist', 'office_points_in_0.005', 'rooms', 'logia']",0.02829250404346867,0.02909878907905969,0.820565785726054,0.8050187208012858,0.0006604955803740666,0.005557031960322538,0.004318031576124079,0.03810164411349237,linear,none,
