,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
1041,53.7252784,91.46078709999999,65,30,110,83,483,19,2222,1,4,11,10,9,4,40,4,19
1056,53.723875,91.462031,62,27,110,89,475,15,2202,1,2,12,11,9,2,38,4,19
1058,53.7255366,91.4603132,72,30,112,88,485,22,2192,1,6,11,10,9,6,40,4,19
1073,53.7254245,91.46153009999999,58,24,109,89,477,12,2222,1,2,11,11,9,2,38,4,19
1074,53.72731109999999,91.4608957,55,18,98,90,452,18,2236,1,2,11,10,9,2,32,2,19
1076,53.7379581,91.4581728,18,5,52,36,239,7,2409,0,0,1,9,0,0,36,0,5
1077,53.7420064,91.4577078,14,5,43,20,236,4,1962,0,0,1,7,0,0,32,0,5
1080,53.7441451,91.45808099999999,14,1,38,14,226,4,1572,0,0,1,6,0,0,30,0,4
1081,53.744636,91.457826,14,1,38,11,224,4,1538,0,0,1,6,0,0,30,0,4
1082,53.7432179,91.4580864,14,3,40,16,232,4,1770,0,0,1,6,0,0,32,0,4
1086,53.7422604,91.45627379999999,15,5,49,19,246,5,1893,0,0,1,8,1,0,34,0,5
1087,53.7428809,91.4571125,14,3,43,16,241,4,1820,0,0,1,7,0,0,32,0,5
1090,53.74355970000001,91.45594419999999,14,3,45,14,237,4,1724,0,0,1,8,1,0,32,0,5
1092,53.73806039999999,91.4565691,21,7,58,41,231,7,2459,0,0,1,9,1,0,40,0,5
1100,53.7445812,91.45559019999999,12,3,40,14,231,2,1604,0,0,1,7,0,0,32,0,4
1102,53.7456013,91.4567355,12,1,38,9,223,2,1424,0,0,1,6,0,0,30,0,4
1106,53.73352800000001,91.4585336,37,8,66,58,284,18,2443,1,0,3,10,4,0,42,0,5
1138,53.7149233,91.4621719,45,34,77,57,334,11,2351,0,1,7,5,5,0,16,4,28
1141,53.7153921,91.46462919999999,80,31,75,61,298,15,2315,0,2,7,7,5,2,20,3,22
1143,53.6939812,91.4347133,8,1,9,12,350,2,3257,0,0,0,0,0,0,1,0,6
1144,53.7032803,91.43073369999999,8,5,16,49,294,4,4740,0,1,2,2,0,1,2,0,10
1148,53.7247493,91.33833279999999,0,0,2,0,7,0,113,0,0,0,0,0,0,2,0,0
