,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
1866,53.7270346,91.4416971,258,42,237,126,814,58,1647,3,15,24,9,6,7,91,25,43
1876,53.71625359999999,91.43131450000001,155,33,122,97,568,30,1902,11,6,10,10,3,1,41,11,36
1877,53.7161015,91.4365753,178,21,130,75,728,30,1569,12,11,8,13,3,5,28,14,39
1882,53.7203326,91.43522399999999,224,39,221,111,715,42,1423,12,11,13,13,4,4,88,22,45
1884,53.73753,91.4215363,134,20,141,98,877,42,818,2,7,2,10,2,2,84,6,24
1887,53.73804,91.419366,126,17,149,84,820,38,704,1,7,1,8,1,2,88,8,17
1893,53.717147,91.44647909999999,147,42,153,89,793,27,1959,4,16,16,8,3,10,38,18,38
1895,53.7230818,91.4249657,159,42,173,114,435,33,1421,8,1,10,8,2,0,111,3,27
1907,53.735133,91.4181444,106,13,138,72,523,33,780,0,3,2,5,1,2,82,8,15
1908,53.7450495,91.42697849999999,95,24,123,76,759,34,571,1,10,3,13,4,2,57,5,28
1911,53.7412998,91.4234927,139,20,141,86,895,46,628,2,12,0,12,4,4,75,6,28
1912,53.7426673,91.4380797,65,33,115,45,557,16,1208,1,10,14,11,5,5,42,6,29
1913,53.722822,91.44406699999999,256,49,223,110,869,56,1674,6,17,22,10,5,12,84,25,44
1919,53.7158495,91.42030690000001,88,34,100,91,362,15,2533,0,0,4,4,1,0,52,1,18
1920,53.7009699,91.4017496,80,25,113,33,310,22,1056,2,1,3,3,1,0,70,1,23
1932,53.74070769999999,91.42140719999999,132,20,125,86,885,48,607,1,7,0,11,3,2,67,6,22
1947,53.731454,91.441847,175,46,206,95,690,40,1553,2,15,19,12,7,7,84,19,38
1951,53.7407106,91.4241534,145,20,153,87,952,49,694,2,12,0,12,4,4,78,5,33
1952,53.7176999,91.44457829999999,175,37,160,90,928,29,1917,4,16,16,8,4,10,44,21,39
1954,53.746109,91.433154,61,28,108,48,557,19,904,1,7,4,10,3,4,38,4,31
1957,53.7304794,91.4363149,210,41,232,107,793,30,1397,4,19,15,14,4,9,106,21,46
1959,53.7460748,91.430044,79,32,118,52,726,29,566,1,11,4,10,4,4,51,3,30
1964,53.724815,91.43627599999999,233,41,236,125,736,40,1417,12,16,12,12,6,4,104,23,42
1965,53.728632,91.439819,227,44,216,126,800,39,1554,3,16,21,12,6,7,88,25,34
1968,53.7192883,91.4615629,67,43,116,77,456,9,2298,2,7,12,9,9,6,34,4,28
1972,53.719579,91.426689,158,40,168,108,428,32,1633,9,2,8,7,3,0,96,7,30
1984,53.725381,91.4376149,242,42,234,133,806,43,1454,13,16,14,12,7,6,94,27,43
1990,53.7192144,91.4600445,59,44,119,82,482,8,2264,2,7,14,8,9,6,34,5,30
1999,53.72858,91.44341209999999,208,46,221,120,722,50,1710,3,14,22,11,7,7,82,26,34
2001,53.7195118,91.4617408,70,43,115,79,459,10,2292,2,7,11,9,9,6,34,4,27
2002,53.7294231,91.44773230000001,171,49,176,121,563,42,2085,3,11,23,9,7,7,76,14,26
2011,53.6982115,91.4017133,79,26,114,32,289,22,1454,2,1,2,3,1,0,68,1,25
2025,53.7237152,91.4437367,269,48,233,115,880,56,1709,6,17,19,11,5,12,84,26,48
2035,53.7189164,91.4498148,148,39,174,113,786,39,1959,4,12,16,7,5,10,53,15,39
2041,53.7180188,91.4484792,154,41,169,108,772,39,1925,5,13,16,7,5,10,50,16,34
2042,53.7245658,91.44355949999999,256,45,233,113,869,56,1758,5,16,16,12,5,10,84,25,51
2046,53.7193104,91.46098630000002,57,43,119,78,465,6,2276,2,7,13,9,9,6,34,5,30
2047,53.72272839999999,91.42243710000001,131,37,172,102,406,24,1447,2,0,7,6,1,0,111,2,23
2050,53.71656189999999,91.41921789999999,92,38,107,93,408,15,2394,0,0,4,3,2,0,56,1,18
2054,53.74510429999999,91.4261148,91,21,114,77,743,34,523,1,10,2,14,4,2,53,6,24
2070,53.7169939,91.4501877,107,38,157,93,688,25,2009,4,11,15,7,4,10,50,12,32
2091,53.74612699999999,91.427526,88,26,110,71,713,30,543,1,7,3,12,4,0,49,5,22
2093,53.7299715,91.44771449999999,167,44,170,119,504,42,2083,3,11,21,9,7,7,76,13,23
2098,53.735896,91.419223,120,17,150,76,663,38,786,1,7,2,6,1,2,88,8,19
2106,53.7439074,91.42697079999999,100,24,136,76,851,34,625,1,12,3,13,4,4,61,8,30
2117,53.698249,91.4040113,80,26,116,35,283,22,1740,2,1,2,3,1,0,70,1,25
2123,53.730006,91.432546,169,36,235,113,839,24,1353,8,16,13,14,6,7,118,15,45
2127,53.7374434,91.4173282,109,11,137,64,563,36,663,0,7,0,6,0,2,81,7,15
2130,53.744003,91.4260573,99,21,125,83,820,34,570,1,10,2,14,4,2,59,6,30
2159,53.7444632,91.42478,98,17,117,77,733,34,519,1,10,0,12,4,2,55,6,26
2172,53.7244198,91.43501429999999,240,42,234,122,676,41,1404,11,15,14,10,5,4,98,23,47
2177,53.7165838,91.4681945,91,26,75,53,280,20,2183,2,4,8,7,5,2,23,1,21
2191,53.7311291,91.4289577,136,32,208,103,673,31,1198,1,12,8,8,5,6,112,9,38
2192,53.72823709999999,91.4409211,227,49,231,124,776,43,1593,3,16,25,10,6,7,92,28,35
2198,53.7144689,91.42893839999999,130,29,97,99,408,24,2368,9,5,7,9,3,1,42,5,22
2200,53.7237181,91.4426443,278,45,236,122,897,56,1664,5,17,16,11,6,10,84,26,50
2210,53.7464533,91.4297832,81,30,114,46,715,30,552,1,11,4,10,3,4,50,3,28
2221,53.700261,91.395325,51,13,77,19,231,14,640,2,0,2,2,1,0,48,1,17
2234,53.7369818,91.4495464,59,19,84,57,180,14,2790,2,1,8,11,2,1,54,4,7
2236,53.6986281,91.4005681,70,25,108,32,290,16,1306,2,0,2,2,1,0,66,1,23
2241,53.6985092,91.38984789999999,19,0,47,2,131,5,341,0,0,0,2,1,0,33,0,13
2243,53.70087119999999,91.4043497,82,27,114,32,301,22,1406,2,1,3,3,1,0,70,1,23
2254,53.71929189999999,91.4236316,120,38,140,112,353,22,1751,9,0,6,7,1,0,82,1,18
2255,53.7305022,91.4422883,186,48,212,112,651,48,1584,3,15,20,12,7,7,84,22,37
2268,53.7286701,91.43249949999999,204,36,228,114,816,27,1375,8,14,14,14,5,6,114,18,43
2279,53.7199007,91.4359152,226,39,200,107,772,44,1476,12,11,11,13,4,4,72,21,44
2282,53.7142567,91.4116621,69,15,46,55,421,14,2028,0,0,8,6,1,0,19,1,7
2328,53.72806869999999,91.4331821,221,37,226,105,784,25,1355,9,14,15,13,4,4,115,17,43
2334,53.69694459999999,91.4032865,79,26,114,33,285,22,1738,2,1,2,2,1,0,68,1,25
2359,53.7205664,91.4372539,222,33,209,108,825,36,1466,12,15,14,15,5,8,70,25,49
2367,53.7155879,91.4351787,161,26,121,81,605,35,1649,12,7,7,11,2,1,32,13,35
2370,53.73215399999999,91.427273,130,27,191,113,662,35,1147,2,11,5,10,3,6,114,9,27
2372,53.7218025,91.4609074,64,39,126,82,477,10,2240,2,7,13,10,9,6,40,4,28
2389,53.71763559999999,91.44431089999999,181,35,158,90,930,29,1921,4,16,16,8,3,10,44,21,39
2407,53.7173654,91.4282362,151,43,148,114,451,30,1886,9,5,7,10,3,1,80,8,30
2408,53.743202,91.415837,77,8,68,48,501,28,350,2,6,0,5,0,2,42,5,8
2413,53.7162644,91.421042,93,34,103,98,361,17,2403,0,0,4,5,1,0,52,1,18
2419,53.7248448,91.44056139999999,266,44,241,132,880,47,1555,12,16,18,12,6,6,89,26,46
2420,53.7222143,91.4266541,167,43,184,120,468,35,1459,9,2,10,8,2,0,103,9,32
2421,53.7461215,91.4174764,68,7,71,41,510,21,271,2,6,0,6,0,2,44,5,10
2429,53.7194465,91.4637107,83,35,107,83,418,14,2213,1,4,9,9,7,2,26,4,31
2441,53.71780889999999,91.44099179999999,206,32,143,114,912,34,1642,12,13,12,8,4,6,33,21,41
2443,53.7180356,91.4217459,107,36,119,96,345,19,2112,0,0,5,5,1,0,66,1,20
2445,53.7448888,91.4377177,56,27,99,33,495,16,1084,1,9,8,9,4,5,40,4,21
2447,53.7173172,91.4633175,75,35,91,77,352,16,2319,0,2,8,8,6,2,20,4,31
2455,53.7220275,91.4334516,215,44,237,132,598,38,1352,12,11,14,10,5,4,115,18,42
2456,53.73553,91.43614400000001,128,56,226,100,722,22,1354,2,17,19,14,7,7,99,13,42
2457,53.716867,91.42739449999999,143,41,135,110,427,26,2010,9,3,6,8,3,1,74,5,26
2463,53.7139154,91.4636922,53,33,65,49,280,12,2319,0,0,6,4,3,0,16,4,21
2465,53.7427687,91.4207436,103,16,98,69,723,40,513,1,7,0,10,3,2,47,6,18
2466,53.7186828,91.4734958,92,19,60,31,173,21,2173,2,4,3,2,2,2,25,0,13
2472,53.7459376,91.4361778,55,26,88,38,465,16,1071,1,8,4,10,3,4,36,4,19
2481,53.7071836,91.5090508,23,0,19,12,129,7,888,4,1,0,0,0,0,8,0,4
2484,53.7057753,91.4006533,64,20,91,28,330,20,946,2,0,3,7,1,0,54,1,19
2493,53.738948,91.4240174,156,22,147,92,1001,50,874,2,12,2,13,4,4,78,5,27
2503,53.7063305,91.4011666,64,21,97,28,364,18,990,2,0,3,7,1,0,56,1,17
2504,53.70398909999999,91.40397519999999,87,26,114,36,320,25,1245,2,1,3,4,1,0,73,1,21
2507,53.736569,91.455344,31,16,62,42,200,13,2638,0,0,3,9,2,0,40,3,5
2519,53.7083974,91.3682764,4,4,3,2,267,0,422,0,0,0,3,0,0,0,1,0
2534,53.7455197,91.4386257,43,26,86,29,403,13,1085,0,7,7,8,3,3,34,4,19
2535,53.7215341,91.4339612,221,40,230,135,601,38,1360,12,11,14,12,5,4,105,22,42
2536,53.7277891,91.4351587,216,42,232,108,776,30,1423,9,16,16,14,4,7,112,19,46
2547,53.7324835,91.42729279999999,126,28,189,108,659,35,1159,2,11,6,10,3,6,112,9,27
2549,53.7189226,91.455386,100,36,143,101,651,27,2223,2,7,22,6,6,6,42,7,33
2552,53.7346217,91.4247383,138,17,193,105,814,41,1009,2,4,4,8,3,2,122,6,25
2554,53.745062,91.43601799999999,64,26,104,38,552,18,1101,1,9,5,11,3,5,40,4,27
2567,53.73994200000001,91.42719699999999,141,29,171,88,1023,50,829,2,13,5,14,4,4,78,8,40
2573,53.72532959999999,91.46354529999999,61,19,99,85,446,21,2156,1,2,10,11,9,2,30,2,19
2574,53.7297641,91.446967,170,47,183,127,550,42,2001,3,12,22,9,8,7,84,16,23
2578,53.7461143,91.4229926,83,14,88,46,595,32,406,1,6,0,10,3,2,42,4,19
2592,53.7452402,91.45553939999999,12,3,40,14,226,2,1514,0,0,0,6,0,0,32,0,4
2595,53.74324499999999,91.422924,117,19,115,75,793,41,532,1,10,0,11,4,2,57,6,22
2596,53.7344172,91.4457544,106,36,128,77,347,36,2238,2,7,18,10,5,1,58,9,24
2597,53.7150341,91.4395024,163,24,109,77,843,26,1833,12,9,10,9,2,4,20,16,32
2603,53.742266,91.41580499999999,79,8,68,48,503,28,378,2,6,0,6,0,2,42,5,8
2611,53.74451699999999,91.415633,71,7,64,48,478,25,290,2,6,0,4,0,2,40,5,8
2617,53.7437062,91.43059009999999,102,31,138,68,916,33,778,1,13,4,12,4,4,55,7,36
2619,53.741298,91.4199129,107,17,105,71,805,40,529,1,7,0,9,1,2,59,6,16
2620,53.7264783,91.435339,235,41,225,108,735,38,1411,11,14,14,11,4,4,100,20,47
2623,53.7244823,91.45656059999999,88,32,133,110,537,30,2108,2,7,18,10,9,6,42,6,20
2629,53.7336679,91.41593639999999,82,8,128,45,258,25,755,0,2,1,0,0,2,81,7,11
2631,53.7026814,91.496197,5,0,14,9,118,3,970,0,0,0,0,0,0,4,2,2
2633,53.6965805,91.40204980000001,77,25,110,32,282,22,1682,2,1,2,2,1,0,66,1,25
2642,53.7302484,91.4284699,140,32,199,110,643,29,1221,5,10,8,7,6,4,110,7,36
2644,53.7367668,91.4224326,140,21,145,93,853,39,897,2,10,2,10,2,4,88,5,26
2652,53.7229241,91.44580649999999,230,45,213,108,843,52,1759,7,14,22,10,6,10,74,21,42
2653,53.7437141,91.45713690000001,14,3,40,15,237,4,1696,0,0,1,7,0,0,32,0,4
2692,53.7456702,91.4355348,62,26,98,39,511,16,1073,1,8,4,11,3,4,38,4,25
2702,53.717377,91.449596,128,38,165,103,734,34,1955,5,11,15,7,5,10,50,15,34
2711,53.7354698,91.4251091,146,19,180,101,898,41,1009,2,7,4,10,4,2,104,6,29
2714,53.7319501,91.4253937,136,25,205,118,630,36,1118,2,4,5,7,3,2,138,5,25
2715,53.7391184,91.4323076,108,39,171,89,888,27,1056,2,13,7,17,5,5,69,5,45
2720,53.7151586,91.4060384,46,16,41,32,489,15,1384,0,0,8,7,1,0,21,1,2
2722,53.7072519,91.5090596,23,0,19,12,129,7,892,4,1,0,0,0,0,8,0,4
2730,53.7165309,91.40647129999999,51,17,46,39,458,15,1335,0,0,8,7,1,0,15,1,5
2734,53.6984631,91.4092423,71,28,90,42,279,20,2393,2,3,0,4,5,0,47,1,17
2737,53.7173245,91.41018969999999,61,18,47,46,405,17,1577,0,0,8,8,1,0,15,1,5
2738,53.7363854,91.4357393,122,55,219,92,740,24,1332,2,17,19,14,7,7,99,12,39
2748,53.6975705,91.39921299999999,66,23,101,32,286,16,1290,2,0,2,2,1,0,62,1,23
2753,53.7372373,91.4281369,144,20,177,84,929,52,1042,2,12,7,15,5,4,78,8,44
2764,53.7270603,91.439556,244,42,229,130,803,39,1563,10,17,19,12,6,7,90,26,38
2767,53.7192781,91.4589398,69,44,124,85,520,9,2256,2,5,14,8,9,4,38,5,30
2776,53.7172878,91.47668619999999,86,11,48,27,150,20,1815,2,2,3,1,1,0,25,0,11
2780,53.71896419999999,91.4148616,83,30,97,53,475,11,1629,0,0,8,3,2,0,56,2,9
2789,53.7237425,91.4610803,66,29,115,83,478,16,2266,1,6,11,10,9,6,38,4,21
2792,53.69342169999999,91.432913,8,1,9,12,339,2,3371,0,0,0,0,0,0,1,0,6
2795,53.71142649999999,91.4379549,95,15,61,57,538,21,2343,4,7,5,8,1,3,14,9,17
2796,53.731471,91.418603,97,19,149,74,338,29,1016,1,3,3,1,0,2,97,6,15
2811,53.7351868,91.43294189999999,121,49,237,100,778,27,1130,2,17,15,14,6,7,105,11,50
2814,53.7161284,91.44486979999999,146,36,144,82,882,19,1960,4,15,13,8,2,10,38,19,37
2819,53.7302162,91.4407895,191,49,228,115,753,38,1542,3,17,21,11,7,9,92,27,39
2822,53.6932567,91.430026,12,1,13,17,356,5,3445,0,0,0,0,2,0,1,0,7
2823,53.72155,91.4111677,69,17,77,40,383,17,1324,0,0,7,4,1,0,40,1,7
2830,53.7174759,91.4117265,70,17,49,44,413,12,1699,0,0,7,6,1,0,19,1,7
2833,53.72804970000001,91.4440584,214,49,228,117,741,53,1762,3,14,21,8,5,7,88,25,36
2837,53.7059272,91.48581329999999,3,2,4,12,125,0,616,0,0,1,0,0,0,0,0,0
2838,53.7125981,91.46402499999999,45,28,52,41,261,10,2307,0,0,5,4,3,0,12,1,17
2842,53.7172589,91.4479302,142,41,157,90,755,31,1960,4,13,16,8,4,10,40,18,36
2846,53.6945054,91.4035899,82,24,96,43,224,24,1941,2,1,1,2,0,0,57,1,22
2847,53.7275808,91.4456031,222,53,224,129,734,51,1869,3,14,23,9,7,9,90,22,32
2867,53.7158709,91.3968775,16,12,21,20,431,12,958,0,0,5,6,0,0,10,1,2
2878,53.74210900000001,91.41979599999999,101,16,97,65,712,36,515,2,7,0,8,2,2,53,5,14
2905,53.7305977,91.42719389999999,147,29,198,103,613,35,1187,1,9,6,6,4,4,116,5,34
2925,53.7236543,91.43361879999999,228,48,240,124,605,40,1368,10,13,15,12,5,4,108,21,45
2942,53.7382915,91.42955909999999,127,30,176,83,949,47,924,2,12,7,16,5,4,78,9,41
2959,53.7269358,91.46170289999999,52,18,102,93,449,11,2226,1,2,12,11,9,2,32,2,19
2967,53.72016470000001,91.4587105,80,42,130,89,537,17,2244,2,5,14,10,9,4,42,5,30
2969,53.7012121,91.3959153,56,16,87,17,278,14,692,2,0,2,3,1,0,52,1,19
2974,53.7111227,91.4394382,82,16,63,34,543,22,2478,4,6,7,6,1,2,18,3,21
2993,53.69972989999999,91.3961819,56,17,84,21,259,14,736,2,0,2,3,1,0,50,1,21
3004,53.71134679999999,91.4781356,46,8,32,25,127,2,1599,2,2,3,1,1,0,17,0,4
3011,53.7277662,91.42526699999999,135,39,214,103,474,39,1291,7,2,9,5,3,0,136,5,36
3015,53.6980369,91.4166563,32,8,45,40,177,13,3539,0,4,0,5,5,0,18,0,12
3022,53.70988209999999,91.4304955,52,14,53,81,354,13,3160,2,4,2,8,1,1,16,1,23
3025,53.7097236,91.4295698,46,13,57,79,295,13,3252,2,4,2,7,1,1,18,1,25
3031,53.7022973,91.4953158,5,0,12,9,116,3,878,0,0,0,0,0,0,4,2,2
3041,53.7381934,91.43579629999999,99,47,200,90,737,24,1380,2,15,17,14,7,5,84,10,39
3059,53.7139129,91.4085133,58,19,59,47,457,12,1745,0,0,8,7,1,0,25,1,5
3076,53.72492,91.448067,208,48,193,126,774,49,2004,5,13,18,6,5,10,66,17,36
3086,53.7026913,91.4018657,81,26,114,29,325,22,1002,2,1,3,3,1,0,72,1,23
3093,53.6946699,91.43868069999999,5,1,8,12,280,2,3015,0,0,0,0,0,0,0,0,6
3100,53.73121769999999,91.4391629,182,47,211,101,750,35,1515,2,18,19,11,7,9,86,20,42
3117,53.700514,91.4952699,5,0,14,6,111,3,872,0,0,0,0,0,0,4,2,2
3123,53.6975013,91.41897159999999,26,6,30,31,167,12,3809,0,4,0,5,5,0,8,0,10
3127,53.7174807,91.4369342,191,26,148,88,768,33,1476,12,12,10,13,3,6,32,18,43
3148,53.7206077,91.4546196,102,37,153,107,707,29,2179,2,9,22,6,7,8,44,10,31
3159,53.7118064,91.4398938,98,19,76,39,603,22,2361,5,6,7,6,1,2,20,7,22
3177,53.7256972,91.4396347,244,42,230,130,831,38,1539,11,15,17,12,6,6,84,26,44
3194,53.7459092,91.4385844,39,25,83,27,381,12,1059,0,7,6,8,2,3,34,4,19
3203,53.7190957,91.43411599999999,204,36,176,105,668,39,1435,12,10,8,12,3,4,72,16,37
3208,53.7055677,91.39783419999999,45,19,79,22,358,14,856,2,0,3,5,1,0,49,1,15
3212,53.7360671,91.43373079999999,117,53,228,94,798,27,1156,2,17,14,14,6,7,103,11,43
3214,53.7293091,91.42151659999999,116,25,181,96,423,33,1254,1,1,5,2,1,0,124,4,20
3233,53.7315274,91.44046089999999,171,43,209,97,717,32,1511,2,17,18,11,7,9,86,18,42
3239,53.7111861,91.43993119999999,84,16,64,38,556,22,2508,4,6,7,6,1,2,18,3,21
3250,53.7241118,91.45803579999999,78,32,126,92,500,28,2152,2,7,16,10,9,6,42,5,19
3252,53.7299269,91.4646932,42,13,58,60,309,16,2384,0,2,9,8,6,2,14,1,8
3261,53.7136636,91.4657072,69,24,56,43,251,14,2223,1,0,5,4,3,0,12,1,21
3262,53.7312232,91.4434075,169,48,188,109,585,42,1685,2,15,20,12,7,7,76,20,30
3280,53.720957,91.46769909999999,96,29,96,64,351,21,2021,1,4,9,11,6,2,35,1,21
3289,53.7211807,91.4351665,234,40,235,119,705,44,1373,12,11,14,15,5,4,98,23,44
3292,53.6923319,91.41735369999999,31,5,39,37,215,14,2836,0,4,0,5,5,0,14,0,10
3297,53.7151788,91.4684245,84,23,60,39,235,15,2187,2,4,7,4,5,2,19,0,19
3310,53.6937659,91.4328247,8,1,9,12,351,2,3463,0,0,0,0,0,0,1,0,6
3311,53.7462078,91.4188243,73,8,76,43,546,24,319,2,6,0,8,0,2,44,5,10
3318,53.7243371,91.4598188,77,31,122,81,498,27,2228,2,6,12,10,9,6,42,4,22
